CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping
CISA Cross-Sector Cybersecurity Performance Goals v1.0.1,CISA Cross-Sector Cybersecurity Performance Goals v1.0.1,CISA Cross-Sector Cybersecurity Performance Goals v1.0.1,CISA Cross-Sector Cybersecurity Performance Goals v1.0.1,CRI Profile v2.1,CRI Profile v2.1
CSF Function,CPG Id,Performance Goal Practice,Performance Goal Outcome,CRI Profile v2.1 Diagnostic Statement,CRI Profile Subcategory
"
IDENTIFY",1.A,"1.A Asset Inventory: Better identify known, unknown (shadow), and unmanaged assets, and more rapidly detect and respond to new vulnerabilities.","Maintain a regularly updated inventory of all organizational assets with an IP address (including IPv6), including OT. This inventory is updated on a recurring basis, no less than monthly for both IT and OT.","ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",IDENTIFY / Asset Management / Hardware Inventory
"
IDENTIFY",1.A,"1.A Asset Inventory: Better identify known, unknown (shadow), and unmanaged assets, and more rapidly detect and respond to new vulnerabilities.","Maintain a regularly updated inventory of all organizational assets with an IP address (including IPv6), including OT. This inventory is updated on a recurring basis, no less than monthly for both IT and OT.","ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).","IDENTIFY / Asset Management / Software, Services, & Systems Inventory"
"
IDENTIFY",1.A,"1.A Asset Inventory: Better identify known, unknown (shadow), and unmanaged assets, and more rapidly detect and respond to new vulnerabilities.","Maintain a regularly updated inventory of all organizational assets with an IP address (including IPv6), including OT. This inventory is updated on a recurring basis, no less than monthly for both IT and OT.","ID.AM-08.02: The organization establishes policies, and employs methods to identify, assess, and manage technology solutions that are acquired, managed, or used outside of established, governed technology and cybersecurity processes (i.e., ""Shadow IT"").",IDENTIFY / Asset Management / Asset Life Cycle Management
"
IDENTIFY",1.B,1.B Organizational Cybersecurity Leadership: A single leader is responsible and accountable for cybersecurity within an organization.,"A named role/position/title is identified as responsible and accountable for planning, resourcing, and execution of cybersecurity activities.  This role may undertake activities such as managing cybersecurity operations at the senior level, requesting and securing budget resources, or leading strategy development to inform future positioning.","GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility"
"
IDENTIFY",1.C,1.C OT Cybersecurity Leadership: A single leader is responsible and accountable for OT-specific cybersecurity within an organization with OT assets.,"A named role/position/title is identified as responsible and accountable for planning, resourcing, and execution of OT-specific cybersecurity activities. In some organizations, this may be the same position as identified in 1.B.","GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility"
"
IDENTIFY",1.D,1.D Improving IT and OT Cybersecurity Relationships: Improve OT cybersecurity and more rapidly and effectively respond to OT cyber incidents.,"Organizations sponsor at least one ""pizza party"" or equivalent social gathering per year that is focused on strengthening working relationships between IT and OT security personnel and is not a working event (such as providing meals during an incident response).","GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
"
IDENTIFY",1.E,1.E Mitigating  Known Vulnerabilities: Reduce the likelihood of threat actors exploiting known vulnerabilities to breach organizational networks.,"All known exploited vulnerabilities (listed in CISA's Known Exploited Vulnerabilities Catalog - https://www.cisa.gov/known-exploited-vulnerabilities-catalog) in internet-facing systems are patched or otherwise mitigated within a risk-informed span of time, prioritizing more critical assets first.  

OT: For OT assets where patching is either not possible or may substantially compromise availability or safety, compensating controls are applied (e.g., segmentation, monitoring) and recorded. Sufficient controls should either make the asset inaccessible from the public internet or reduce the ability of threat actors to exploit the vulnerabilities in these assets.","ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification
"
IDENTIFY",1.E,1.E Mitigating  Known Vulnerabilities: Reduce the likelihood of threat actors exploiting known vulnerabilities to breach organizational networks.,"All known exploited vulnerabilities (listed in CISA's Known Exploited Vulnerabilities Catalog - https://www.cisa.gov/known-exploited-vulnerabilities-catalog) in internet-facing systems are patched or otherwise mitigated within a risk-informed span of time, prioritizing more critical assets first.  

OT: For OT assets where patching is either not possible or may substantially compromise availability or safety, compensating controls are applied (e.g., segmentation, monitoring) and recorded. Sufficient controls should either make the asset inaccessible from the public internet or reduce the ability of threat actors to exploit the vulnerabilities in these assets.",ID.RA-07.05: The organization establishes and maintains an exception management process for identified vulnerabilities that cannot be mitigated within target timeframes.,IDENTIFY / Risk Assessment / Change & Exception Management
