                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages
Outline Id,Profile Level,Profile-Id,Diagnostic Statement Name,CRI Profile v2.1 Diagnostic Statement,EEE Package Name,Package Example Evidence Items
003.001,GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01,Goverance alignment,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",EEE-001: Cybersecurity and IT Strategy Documents,"- An integrated IT strategic plan that includes cybersecurity goals, detailing how security initiatives support and enhance long-term organizational objectives.
- Cybersecurity policy documents that are aligned with the IT strategic plan, ensuring that security measures and protocols are consistently applied across all technology projects.
- A technology and cybersecurity roadmap that provides a timeline for planned IT and security initiatives, including critical milestones and resource allocation.
- Documentation of the organization's adoption and implementation of cybersecurity frameworks demonstrating a structured approach to security practices within the strategic context.
- Consolidated IT and cybersecurity budget reports that reflect strategic financial planning for technology and security investments, highlighting the integration of cybersecurity into the overall technology and business budget.
- Strategic alignment review reports that evaluate the alignment between ongoing IT initiatives and cybersecurity objectives, ensuring that all technology projects incorporate necessary security considerations."
003.001,GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01,Goverance alignment,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",EEE-002: Board Governance and IT Oversight Documentation,"- Board of Directors' charter and governance guidelines.
- Copies of presentations, reports, and minutes from board meetings and committees related to IT and cybersecurity.
- Records of decisions and actions taken regarding IT governance.
- Policy documents on roles and responsibilities of governance bodies.
- Compliance reports related to governance policies and practices."
003.001,GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01,Goverance alignment,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",EEE-003: Strategic Objectives and Planning Documents,"- Documentation ot the organization's mission statement.
- Strategic plan outlining the organization's objectives and key results.
- Executive summaries of strategic goals related to IT and cybersecurity.
- Performance reports against strategic objectives.
- Communications from leadership on strategic direction and priorities."
003.001,GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01,Goverance alignment,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",EEE-004: Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
003.001,GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01,Goverance alignment,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.","EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents","- Risk appetite statements approved by the board or executive management.
- Risk tolerance levels defined for different categories of risk.
- Documentation on how risk appetite influences decision-making and strategy.
- Reports on risk exposures compared to the defined risk appetite.
- Updates or revisions to risk appetite and tolerance based on changing conditions."
004.002,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01,Stakeholder obligations,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",EEE-004: Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
004.002,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01,Stakeholder obligations,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.","EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents","- Risk appetite statements approved by the board or executive management.
- Risk tolerance levels defined for different categories of risk.
- Documentation on how risk appetite influences decision-making and strategy.
- Reports on risk exposures compared to the defined risk appetite.
- Updates or revisions to risk appetite and tolerance based on changing conditions."
004.002,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01,Stakeholder obligations,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.","EEE-006: Cybersecurity, Culture, and Training Record Documents","- Employee cybersecurity awareness survey results.
- Training attendance logs for cybersecurity and IT policy courses.
- Assessments of organizational culture regarding security practices.
- Feedback and improvement reports following culture assessments.
- Records of cultural change initiatives related to cybersecurity."
004.002,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01,Stakeholder obligations,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",EEE-009: Audit and Remediation Documentation,"- Internal audit reports on IT and cybersecurity controls.
- External audit findings and recommendations related to cybersecurity.
- Management responses and action plans addressing audit observations.
- Follow-up reports on the implementation of audit recommendations.
- Third-party assurance reports (e.g., SOC 2, ISO/IEC 27001 certifications)."
