CRI Profile ver. 2.1 - Examples of Effective Evidence (EEE) Packages,CRI Profile ver. 2.1 - Examples of Effective Evidence (EEE) Packages,CRI Profile ver. 2.1 - Examples of Effective Evidence (EEE) Packages
Package Id,EEE Package Name,Package Example Evidence Items
EEE-001,Cybersecurity and IT Strategy Documents,"- An integrated IT strategic plan that includes cybersecurity goals, detailing how security initiatives support and enhance long-term organizational objectives.
- Cybersecurity policy documents that are aligned with the IT strategic plan, ensuring that security measures and protocols are consistently applied across all technology projects.
- A technology and cybersecurity roadmap that provides a timeline for planned IT and security initiatives, including critical milestones and resource allocation.
- Documentation of the organization's adoption and implementation of cybersecurity frameworks demonstrating a structured approach to security practices within the strategic context.
- Consolidated IT and cybersecurity budget reports that reflect strategic financial planning for technology and security investments, highlighting the integration of cybersecurity into the overall technology and business budget.
- Strategic alignment review reports that evaluate the alignment between ongoing IT initiatives and cybersecurity objectives, ensuring that all technology projects incorporate necessary security considerations."
EEE-002,Board Governance and IT Oversight Documentation,"- Board of Directors' charter and governance guidelines.
- Copies of presentations, reports, and minutes from board meetings and committees related to IT and cybersecurity.
- Records of decisions and actions taken regarding IT governance.
- Policy documents on roles and responsibilities of governance bodies.
- Compliance reports related to governance policies and practices."
EEE-003,Strategic Objectives and Planning Documents,"- Documentation ot the organization's mission statement.
- Strategic plan outlining the organization's objectives and key results.
- Executive summaries of strategic goals related to IT and cybersecurity.
- Performance reports against strategic objectives.
- Communications from leadership on strategic direction and priorities."
EEE-004,Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
EEE-005,"Risk Appetite Tolerance, and Strategy Alignment Documents","- Risk appetite statements approved by the board or executive management.
- Risk tolerance levels defined for different categories of risk.
- Documentation on how risk appetite influences decision-making and strategy.
- Reports on risk exposures compared to the defined risk appetite.
- Updates or revisions to risk appetite and tolerance based on changing conditions."
EEE-006,"Cybersecurity, Culture, and Training Record Documents","- Employee cybersecurity awareness survey results.
- Training attendance logs for cybersecurity and IT policy courses.
- Assessments of organizational culture regarding security practices.
- Feedback and improvement reports following culture assessments.
- Records of cultural change initiatives related to cybersecurity."
EEE-007,"Legal, Regulatory, and Compliance Management Documentation","- Compliance audit reports for relevant laws and regulations (e.g., GDPR, HIPAA).
- Documentation of legal advice received on cybersecurity matters, to include determinations of incident materiality.
- Records of regulatory filings and notices related to IT and cybersecurity.
- Updates to policies and procedures in response to legal and regulatory changes.
- Training records on legal and regulatory requirements for IT staff."
EEE-008,Customer Data Privacy and Data Protection Documentation,"- Published privacy policy detailing how customer data is handled and protected.
- Consent forms and records of customer approvals for data processing.
- Data Protection Impact Assessments (DPIAs) for new projects involving personal data.
- Records of privacy policy reviews and updates.
- Documentation of customer notifications in the event of a data breach."
EEE-009,Audit and Remediation Documentation,"- Internal audit reports on IT and cybersecurity controls.
- External audit findings and recommendations related to cybersecurity.
- Management responses and action plans addressing audit observations.
- Follow-up reports on the implementation of audit recommendations.
- Third-party assurance reports (e.g., SOC 2, ISO/IEC 27001 certifications)."
EEE-010,IT Asset Management and Business Function Mapping Documentation,"- Inventory list of IT assets, including hardware, software, and data.
- Business function catalog that maps key assets to their corresponding business process.
- Asset ownership and stewardship  records indicating who is responsible for specific assets.
- Lifecycle management records for assets, showing purchase dates, warranty periods, and disposal information.
- Integration diagrams showing how assets interact within the business's technology ecosystem."
EEE-011,External Dependencies and Risk Assessment Documents,"- Diagrams of network architecture showing connections to external systems and services.
- Contracts and service level agreements (SLAs) with key vendors and service providers.
- Risk assessments of external dependencies highlighting potential impact on business operations.
- Documentation of alternative vendors and backup resources in case of primary vendor failure.
- Incident reports related to external dependencies, including response and resolution details."
EEE-012,Critical Business Process and Recovery Documentation,"- Process and informatioin flow diagrams for critical business operations.
- Business impact analyses that identify and prioritize critical processes.
- Procedures and guidelines for maintaining and operating critical processes.
- Performance metrics and monitoring reports for critical processes.
- Recovery plans for critical business processes in the event of disruption."
EEE-013,Operational Resilience and Continuity Procedures Documentation,"- Standard operating procedures (SOPs) for responding to incidents that threaten resilience and continuity.
- Business continuity plan outlining procedures for maintaining service delivery during disruptions.
- Recovery time objectives (RTOs), recovery point objectives (RPOs), maximum tolerable downtime (MTO), impact tolerance, and/or other recovery objective metrics are established for key services.
- Communication plans for stakeholders during a service disruption, to include alternative communication mechanisms.
- Contingency plans detailing alternative service delivery methods.
- Training records for staff on resilience and continuity procedures and their roles during incidents."
EEE-014,Resilience and Continuity Design and Assessment Documents,"- A documented methodology for evaluating the resilience and continuity of business operations and IT systems.
- Workbooks or diagrams that visually depict the dependencies of critical business processes.
- Risk impact studies with mitigation strategies for critical functions.
- Meeting minutes from design reviews focused on enhancing system resilience and continuity.
- Industry benchmarking reports comparing the organization's resilience and continuity capabilities.
- Checklists used for auditing the content and coverage of resilience and continuity plans."
EEE-015,Sector-Wide Dependency and Impact Analysis Documentation,"- Analysis reports detailing the dependencies within the organization's sector and potential vulnerabilities.
- Tools or software used to evaluate the criticality of external partners and suppliers.
- Summaries from workshops and exercises aimed at understanding the sector-wide impact of external disruptions.
- Reports on how regulatory changes could affect critical external dependencies.
- Real-time dashboards for monitoring geopolitical events that may impact the sector."
EEE-016,Recovery Objectives and Strategic Alignment Documentation,"- Tools and templates used for formulating recovery strategies that support business objectives.
- A matrix aligning recovery time and point objectives with business priorities.
- Documentation from strategic planning sessions focused on recovery objectives.
- Signed approvals from management endorsing the proposed recovery strategies.
- Periodic review reports assessing the alignment of recovery objectives with business needs."
EEE-017,Third-Party Risk Management and Communication Documents,"- Risk assessment reports for each critical third-party vendor, detailing potential risks and mitigation strategies.
- Communication plan templates for coordinating with third parties during incidents.
- Vendor risk management policy that outlines procedures for assessing and managing third-party risks.
- Records of third-party risk management training provided to staff responsible for vendor relations.
- Documentation of third-party performance reviews, focusing on compliance with security and resilience standards."
EEE-018,"Supplier Evaluation, Onboarding, and Due Diligence Documentation","- Checklists and criteria used for evaluating potential suppliers, including security and resilience factors.
- Due diligence reports for key suppliers, including assessments of their financial stability and operational resilience.
- Agreements that include clauses related to ongoing monitoring and evaluation of supplier performance.
- Records of supplier selection meetings, including rationale for decisions and any identified risks.
- Supplier onboarding process documentation, highlighting security and resilience requirements."
EEE-019,Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
EEE-020,Vendor Contingency and Transition Planning Documents,"- Contingency plans for transitioning services in case of vendor failure, including timelines and responsibilities.
- Checklists for evaluating vendor contingency and recovery capabilities during the selection process.
- Documentation of transition exercises or drills conducted to test the effectiveness of contingency plans.
- Vendor exit strategy documents that outline procedures for terminating relationships while maintaining operational continuity.
- Records of vendor performance issues that triggered contingency or transition plans."
EEE-021,Third-Party Cybersecurity and Continuity Assessment Documentation,"- Reports from cybersecurity assessments conducted on third-party vendors, including findings and recommendations.
- Third-party business continuity plans that detail recovery strategies and objectives relevant to services provided (or records of plan reviews).
- Agreements with third parties that include requirements for cybersecurity measures and business continuity planning.
- Documentation of joint business continuity exercises with critical vendors, including outcomes and improvements.
- Vendor cybersecurity certification records, verifying adherence to industry standards and best practices."
EEE-022,"Incident Management, Response Framework and Performance Documentation","- Integrated incident management policies and Incident Response Plan (IRP) that outline procedures for detecting, responding to, and recovering from security incidents, from detection to resolution.
- Configuration guides for SIEM systems and other detection tools, paired with response protocols.
- Combined logs of incident detection, analysis, and response activities, showing the full incident lifecycle.
- Training records and modules for the incident response team and security personnel, including exercises, simulations, and end-to-end incident management process.
- After-action reports, summaries, and lessons learned from incident response exercises, including key takeaways and action items.
- Metrics and performance indicators that track the effectiveness of the incident response program.
- Audit reports evaluating the effectiveness of the incident management framework and suggesting improvements."
EEE-023,Third Party Technology Security Assessment and Compliance Documents,"- Assessment reports for third party software and technology, including security reviews and compliance checks.
- Documentation of the criteria and standards used for technology assessments.
- Change logs for external software, indicating how updates and patches are managed.
- Reports from third party vulnerability and security evaluation scanning services
- Vendor security certifications or attestations, such as SOC 2 reports or ISO certifications.
- Records of security testing, such as penetration tests or vulnerability scans, performed on third-party technologies."
EEE-024,Supplier Collaboration and Security Program Documentation,"- Standard operating procedures (SOPs) for conducting security investigations and handling forensic data.
- Chain of custody forms and logs that track the handling and analysis of forensic evidence.
- Forensic toolkits and software licenses used for data analysis during investigations.
- Forensic investigation reports detailing the rigor of methods applied.
- Training certifications and other qualifications for personnel or third parties involved in forensic investigations.
- Reports from completed investigations, including methodologies, findings, and recommendations."
