,"The CRI Profile, ver. 2.1","The CRI Profile, ver. 2.1","The CRI Profile, ver. 2.1",
,- An Overview and User Guide -,- An Overview and User Guide -,- An Overview and User Guide -,
,"INFORMATIONAL PURPOSES ONLY:  The information contained within this spreadsheet document and in related Profile documents are intended for informational purposes only. The information contained herein is provided on an “as is” basis without warranty of any kind, either express or implied. CRI assumes no liability or responsibility for any errors or omissions in the content of this document.  Please be sure to check for the most recent versions at https://cyberriskinstitute.org.

Talk with your regulator; by including mappings and references to various regulatory agencies’ publications, that does not mean, nor should it be construed, that the referenced agency necessarily supports, or endorses, the mappings or the Profile’s use for regulatory purposes. Additionally, use of the Profile does not limit what a supervisor can review or requires.  Rather, the Profile enables financial institutions to confidently produce baseline evidence for review and more quickly respond to iterative and follow-up questions from examiners.","INFORMATIONAL PURPOSES ONLY:  The information contained within this spreadsheet document and in related Profile documents are intended for informational purposes only. The information contained herein is provided on an “as is” basis without warranty of any kind, either express or implied. CRI assumes no liability or responsibility for any errors or omissions in the content of this document.  Please be sure to check for the most recent versions at https://cyberriskinstitute.org.

Talk with your regulator; by including mappings and references to various regulatory agencies’ publications, that does not mean, nor should it be construed, that the referenced agency necessarily supports, or endorses, the mappings or the Profile’s use for regulatory purposes. Additionally, use of the Profile does not limit what a supervisor can review or requires.  Rather, the Profile enables financial institutions to confidently produce baseline evidence for review and more quickly respond to iterative and follow-up questions from examiners.","INFORMATIONAL PURPOSES ONLY:  The information contained within this spreadsheet document and in related Profile documents are intended for informational purposes only. The information contained herein is provided on an “as is” basis without warranty of any kind, either express or implied. CRI assumes no liability or responsibility for any errors or omissions in the content of this document.  Please be sure to check for the most recent versions at https://cyberriskinstitute.org.

Talk with your regulator; by including mappings and references to various regulatory agencies’ publications, that does not mean, nor should it be construed, that the referenced agency necessarily supports, or endorses, the mappings or the Profile’s use for regulatory purposes. Additionally, use of the Profile does not limit what a supervisor can review or requires.  Rather, the Profile enables financial institutions to confidently produce baseline evidence for review and more quickly respond to iterative and follow-up questions from examiners.",
1,Introduction,Introduction,Introduction,Introduction
,"Cyber Risk Institute (CRI) has developed CRI's Profile v2.1 framework to create an efficient approach to technology and cybersecurity risk management that effectively counters dynamic and evolving threats and provides adequate assurance to government supervisors. This is an updated version of the CRI Profile ver. 2.0 that serves to provide additional guidance for organizations to align with technology and cybersecurity regulatory expectations and authorities. The Profile also provides a flexible structure to inform the development of a cybersecurity program according to business needs and specific regulatory expectations within an individual organization, vocabulary, and taxonomy. 

Through collaboration and consensus between financial institutions, this document seeks to develop both a self-assessment and tool for institutions to create a common baseline security threshold, and provide a common supervisory engagement approach among state, federal, and international regulatory bodies. This is possible because the Profile has been mapped to and integrated numerous global standards and supervisory expectations, including those from Japan, the European Union, Australia, Singapore, and the United States, among others. 

To enhance the Profile’s assessment capabilities, the industry developed an “Impact Tiering” questionnaire to identify the potential market risk presented by financial institutions of differing complexity, and sizes. This ""Impact Tiering"" approach was encouraged by the regulatory community, and the concepts included in this approach are concepts that they now express in their policy initiatives regarding operational resilience. Upon determining an institution’s Impact Tier, the Profile is customized to meet the institution’s likely technology and cybersecurity risk, and applicability of the CRI Profile v2.1 diagnostic statements. CRI Profile v2.1 provides guidance for benchmarking an individual institution's program with the Profile's recommended practices, to identify gaps, articulate those gaps to the C-Suite and board directors in plain language, discuss appropriate resourcing for mitigation, and track the advancement in mitigation efforts over time.","Cyber Risk Institute (CRI) has developed CRI's Profile v2.1 framework to create an efficient approach to technology and cybersecurity risk management that effectively counters dynamic and evolving threats and provides adequate assurance to government supervisors. This is an updated version of the CRI Profile ver. 2.0 that serves to provide additional guidance for organizations to align with technology and cybersecurity regulatory expectations and authorities. The Profile also provides a flexible structure to inform the development of a cybersecurity program according to business needs and specific regulatory expectations within an individual organization, vocabulary, and taxonomy. 

Through collaboration and consensus between financial institutions, this document seeks to develop both a self-assessment and tool for institutions to create a common baseline security threshold, and provide a common supervisory engagement approach among state, federal, and international regulatory bodies. This is possible because the Profile has been mapped to and integrated numerous global standards and supervisory expectations, including those from Japan, the European Union, Australia, Singapore, and the United States, among others. 

To enhance the Profile’s assessment capabilities, the industry developed an “Impact Tiering” questionnaire to identify the potential market risk presented by financial institutions of differing complexity, and sizes. This ""Impact Tiering"" approach was encouraged by the regulatory community, and the concepts included in this approach are concepts that they now express in their policy initiatives regarding operational resilience. Upon determining an institution’s Impact Tier, the Profile is customized to meet the institution’s likely technology and cybersecurity risk, and applicability of the CRI Profile v2.1 diagnostic statements. CRI Profile v2.1 provides guidance for benchmarking an individual institution's program with the Profile's recommended practices, to identify gaps, articulate those gaps to the C-Suite and board directors in plain language, discuss appropriate resourcing for mitigation, and track the advancement in mitigation efforts over time.","Cyber Risk Institute (CRI) has developed CRI's Profile v2.1 framework to create an efficient approach to technology and cybersecurity risk management that effectively counters dynamic and evolving threats and provides adequate assurance to government supervisors. This is an updated version of the CRI Profile ver. 2.0 that serves to provide additional guidance for organizations to align with technology and cybersecurity regulatory expectations and authorities. The Profile also provides a flexible structure to inform the development of a cybersecurity program according to business needs and specific regulatory expectations within an individual organization, vocabulary, and taxonomy. 

Through collaboration and consensus between financial institutions, this document seeks to develop both a self-assessment and tool for institutions to create a common baseline security threshold, and provide a common supervisory engagement approach among state, federal, and international regulatory bodies. This is possible because the Profile has been mapped to and integrated numerous global standards and supervisory expectations, including those from Japan, the European Union, Australia, Singapore, and the United States, among others. 

To enhance the Profile’s assessment capabilities, the industry developed an “Impact Tiering” questionnaire to identify the potential market risk presented by financial institutions of differing complexity, and sizes. This ""Impact Tiering"" approach was encouraged by the regulatory community, and the concepts included in this approach are concepts that they now express in their policy initiatives regarding operational resilience. Upon determining an institution’s Impact Tier, the Profile is customized to meet the institution’s likely technology and cybersecurity risk, and applicability of the CRI Profile v2.1 diagnostic statements. CRI Profile v2.1 provides guidance for benchmarking an individual institution's program with the Profile's recommended practices, to identify gaps, articulate those gaps to the C-Suite and board directors in plain language, discuss appropriate resourcing for mitigation, and track the advancement in mitigation efforts over time.",
1A,Summary of Changes from Profile Version 2.0 to Version 2.1,Summary of Changes from Profile Version 2.0 to Version 2.1,Summary of Changes from Profile Version 2.0 to Version 2.1,Summary of Changes from Profile Version 2.0 to Version 2.1
,"1.  There are no changes to the Profile diagnostic statements or Profile structure (Functions, Categories, and Subcategories) in version 2.1.","1.  There are no changes to the Profile diagnostic statements or Profile structure (Functions, Categories, and Subcategories) in version 2.1.","1.  There are no changes to the Profile diagnostic statements or Profile structure (Functions, Categories, and Subcategories) in version 2.1.",
,"2.  The mappings for the Profile have been moved to a separate Excel workbook named ""CRI Profile ver. 2.1 Mappings Catalog"".  A listing of the mappings in that Excel file are provided in the orange worksheet named ""Catalog of Mapped Documents"".","2.  The mappings for the Profile have been moved to a separate Excel workbook named ""CRI Profile ver. 2.1 Mappings Catalog"".  A listing of the mappings in that Excel file are provided in the orange worksheet named ""Catalog of Mapped Documents"".","2.  The mappings for the Profile have been moved to a separate Excel workbook named ""CRI Profile ver. 2.1 Mappings Catalog"".  A listing of the mappings in that Excel file are provided in the orange worksheet named ""Catalog of Mapped Documents"".",
,"      Moving the mappings to a separate file will allow the mappings to be added to and updated on a more frequent basis than the Profile itself.  The only mapping provided in this file is to the NIST CSF ver. 2.0, which is foundational to the Profile.","      Moving the mappings to a separate file will allow the mappings to be added to and updated on a more frequent basis than the Profile itself.  The only mapping provided in this file is to the NIST CSF ver. 2.0, which is foundational to the Profile.","      Moving the mappings to a separate file will allow the mappings to be added to and updated on a more frequent basis than the Profile itself.  The only mapping provided in this file is to the NIST CSF ver. 2.0, which is foundational to the Profile.",
,3.  The Examples of Effective Evidence (EEE) provided in version 2.0 have been replaced by a new organizational scheme.  ,3.  The Examples of Effective Evidence (EEE) provided in version 2.0 have been replaced by a new organizational scheme.  ,3.  The Examples of Effective Evidence (EEE) provided in version 2.0 have been replaced by a new organizational scheme.  ,
,"      - ""EEE Packages"" are subject area groupings of example evidence items.","      - ""EEE Packages"" are subject area groupings of example evidence items.","      - ""EEE Packages"" are subject area groupings of example evidence items.",
