CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,,,,,
,,,,,Target Assessment Level -->,Target Assessment Level -->,Target Assessment Level -->,Target Assessment Level -->,Tier-4,,,,,
Outline Id,Profile Subcategory,Profile Id,Diagnostic Statement Name,CRI Profile v2.1 Diagnostic Statement,Tier-1,Tier-2,Tier-3,Tier-4,"Assessment
Rating","Assessment
Rationale","Supporting
Evidence",Response Guidance,Examples of Effective Evidence (EEE) Packages,Profile Subject Tags
003.001,GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01,Goverance alignment,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the organization’s mission, objectives, and activities establish priorities for the technology and cybersecurity strategies, architectures, and programs and communicates those priorities. Response should include documentation, such as the organizational mission statement, cybersecurity and technology program, strategies, architectures, aligned target operating model (i.e., desired state of operations considering the organization’s role in critical infrastructure) and related documents supporting the establishment and communication of priorities for the organizational mission, objectives, and activities.","EEE-001: Cybersecurity and IT Strategy Documents
EEE-002: Board Governance and IT Oversight Documentation
EEE-003: Strategic Objectives and Planning Documents
EEE-004: Risk Management Framework and Reporting Documents
EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents",#architecture | #mission_and_strategy | #risk_management
004.002,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01,Stakeholder obligations,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework, its risk appetite and risk tolerance statements, and in a risk-aware culture.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The orgnanization’s risk management processes should balancealign the organization’s risk tolerance with business objectives. Through the risk management analysis, tThe organizations should consider their obligations to protect its customers, employees, and stakeholders information from being exposed to excessive risks that may reduce the confidence in the organization or sector. The organization management should establishdefine and document their risk tolerance and risk appetite statements, and promote a risk-aware culture in order to maintain risk exposure within the established risk tolerance limits.
Responses should provide information on the organization’s risk tolerance and risk appetite statements including supporting details on how the organization considers their obligations to customers, employees, and stakeholders. Describe the organizations risk-awareness culture and how they assess, monitor, report, and manage identified risks","EEE-004: Risk Management Framework and Reporting Documents
EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents
EEE-006: Cybersecurity, Culture, and Training Record Documents
EEE-009: Audit and Remediation Documentation
EEE-104: Risk Tolerance and Management Practice Integration Documentation",#mission_and_strategy | #risk_appetite_/_tolerance | #risk_management
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,Yes,No,No,No,Not Applicable,,,"The United States Department of Homeland Security has identified the financial services sector as a critical infrastructure sector. Similarly, the sector has been identified as critical infrastructure by the European Programme for Critical Infrastructure Protection  and the UK’s Centre for Protection of National Infrastructure (CPNI) . Further, the U.S. Government has identified and prioritized certain large organizations where a cybersecurity incident could result in catastrophic regional or national effects on economic or national security. Cybersecurity strategies should recognize the organization’s role in the financial sector as well as dependencies on other critical infrastructures .
Responses should include how the technology and cybersecurity risk management strategies have both identified and communicated the organization’s role within the sector as a component of critical infrastructure within the financial services Industry. For example, an organization may be a main provider of wholesale payments, clearing and settlement or some other critical function that could be detrimental to the industry and the economy if the organization is not able to function. Include whether the organization is a member of the Analysis and Resilience Center for Systemic Risk (ARC), the Bank of England Cross Market Operational Resilience Group (CMORG)  or similar organization to address critical sector impacts.","EEE-001: Cybersecurity and IT Strategy Documents
EEE-002: Board Governance and IT Oversight Documentation
EEE-004: Risk Management Framework and Reporting Documents
EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents
EEE-007: Legal, Regulatory, and Compliance Management Documentation
EEE-009: Audit and Remediation Documentation
EEE-015: Sector-Wide Dependency and Impact Analysis Documentation
EEE-017: Third-Party Risk Management and Communication Documents
EEE-104: Risk Tolerance and Management Practice Integration Documentation",#business_impact_analysis | #critical_infrastructure | #mission_and_strategy | #risk_management | #roles_and_responsibilities
004.004,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03,Critical infratructure sector role,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,Yes,No,No,No,Not Applicable,,,"The Board or Committee should be familiar with how relevant government agencies determine critical infrastructure. For example, in the United States, the Department of Homeland Security’s critical infrastructure list  and critical functions set  are used to identify relevant sectors. In the United Kingdom the Centre for the Protection of National Infrastructure defines critical national infrastructure.  
Responses should include the Board or Committee’s awareness of any critical infrastructure that the organization’s services or activities could impact due to a cyber breach or service degradation. Large organizations play a particularly important role in terms of critical infrastructure planning because of their potential systemic impact, including the potential national or global effects an adverse event could have in the financial sector and the national/global economy. Technology and cybersecurity risk management strategies should recognize the organization’s role with respect to critical infrastructure functions, including details on how the risk management strategies are related to other critical infrastructures outside of the financial sector (e.g., energy, communications, information technology, etc.).","EEE-001: Cybersecurity and IT Strategy Documents
EEE-004: Risk Management Framework and Reporting Documents
EEE-015: Sector-Wide Dependency and Impact Analysis Documentation
EEE-017: Third-Party Risk Management and Communication Documents",#business_impact_analysis | #critical_infrastructure | #mission_and_strategy | #risk_management
005.005,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,"Legal, contractual, and regulatory obligations","GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The Gramm-Leach-Bliley Act and its implementing regulations, including the Guidelines Establishing Standards for Safeguarding Customer Information is the seminal set of legal expectations as it relates to information security for financial institutions in the United States. Other jurisdictions will have additional legal and regulatory obligations in place. Regulatory guidance and/or legal requirements may apply based on products, services, and legal structure. Furthermore, organizations will have contractual obligations with vendors, government agencies, and other third-party service providers that should be tracked for compliance with established responsibilities.
Provide information on how new or enhanced technology and cybersecurity regulations and contractual obligations are published (trigger event), and how technology and cybersecurity strategies, frameworks, and policies are reviewed and updated to ensure regulatory and contractual obligation alignment. Responses should describe any existing efforts within the organization that may map regulatory and contractual requirements to existing policies, procedures, and controls. Provide information regarding any the organizations processes for identifying, tracking, and overseeing regulatory and contractual requirements. Roles and responsibilities should be clearly defined and unambiguously assigned for technology and cybersecurity. Provide information on how the organization ensures responsibilities are unambiguously assigned (e.g., compliance responsibility assignment matrix, RACI charts). ","EEE-001: Cybersecurity and IT Strategy Documents
EEE-002: Board Governance and IT Oversight Documentation
EEE-004: Risk Management Framework and Reporting Documents
EEE-007: Legal, Regulatory, and Compliance Management Documentation
EEE-008: Customer Data Privacy and Data Protection Documentation
EEE-009: Audit and Remediation Documentation
EEE-019: Vendor Contract Management and Compliance Oversight Documents",#compliance | #mission_and_strategy | #policy_management
005.006,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.02,Data Privacy Policy,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the various policies and standards in place are designed to protect customer privacy and comply with local laws. Indicate how these documents describe security and safeguarding of information generated and obtained in the course of executing business activities. Identify who in the organization is responsible for maintaining privacy-related programs, documents, and compliance activities.","EEE-007: Legal, Regulatory, and Compliance Management Documentation
EEE-008: Customer Data Privacy and Data Protection Documentation
EEE-074: Data Protection and Encryption Documentation
EEE-098: Customer Data Privacy and Compliance Documents",#board_or_committee_oversight | #compliance | #policy_management
006.007,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.01,"Key assets, functions, and external dependencies","GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",Yes,Yes,Yes,No,Not Applicable,,,"Describe the processes and tools related to the maintenance of an inventory of internal and externally managed assets and business functions. The identification of dependencies has become increasingly important in today’s networked environments because applications and services rely on a variety of supporting services. Dependencies and interdependencies among applications and services should be noted to support activities such as conducting code reviews, security assessments, modifications to firewall/network policies, and testing. Include in the response the mapping of internal assets and business functions to other assets, business functions, and information flows.
Consider the organization’s operational resilience as it relates to the inventory of critical assets and business services within the organization’s inventory. The list should identify systemically important business services and associated mappings to assets and dependencies to satisfy operational resilience requirements and help manage disruptions to the safety and soundness of the market. ","EEE-010: IT Asset Management and Business Function Mapping Documentation
EEE-011: External Dependencies and Risk Assessment Documents
EEE-014: Resilience and Continuity Design and Assessment Documents",#architecture | #asset_management | #data_flow | #dependency_management | #network_diagrams | #resilience
006.008,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.02,Critical business processes,"GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",Yes,Yes,Yes,Yes,To Be Assessed,,,"As part of managing risks, the organization should understand existing business processes and identify which processes are critical for the delivery of services and functioning of the organization. Describe the organization’s approach to identify critical business processes. The response should include impacted upstream and downstream systems and services and the potential impacts on internal and external stakeholders.","EEE-012: Critical Business Process and Recovery Documentation
EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-016: Recovery Objectives and Strategic Alignment Documentation",#business_impact_analysis | #business_process | #critical_infrastructure | #dependency_management | #resilience | #security_logging_monitoring_and_alerting | #technology_availability
